Event	ID	Name			Wwise Object Path	Notes
	837308203	Robot_Walking			\Default Work Unit\Enemy_Robot\Robot_Walking	
	1068092414	Player_Hurt			\Default Work Unit\Player Character\Player_Hurt	
	1522112979	Robot_AggroGlitch			\Default Work Unit\Enemy_Robot\Robot_AggroGlitch	
	1522384865	Robot_Shooting			\Default Work Unit\Enemy_Robot\Robot_Shooting	
	1626783241	Robot_Turning			\Default Work Unit\Enemy_Robot\Robot_Turning	
	1730208058	Player_Footsteps			\Default Work Unit\Player Character\Player_Footsteps	
	3083087645	Player_Death			\Default Work Unit\Player Character\Player_Death	
	3361170585	Player_Stop			\Default Work Unit\Player Character\Player_Stop	
	4001339043	Robot_Detection			\Default Work Unit\Enemy_Robot\Robot_Detection	
	4077002444	Player_Scanning			\Default Work Unit\Player Character\Player_Scanning	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4847204	FP Shoes_Metal1	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\27\{27DF3994-8EAC-E617-F6DE-DEDF75CD462D}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Character\Player_Footsteps\FP Shoes_Metal1		103908
	67998635	RF Robot_Step4	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\7A\{7AAD019D-E858-9EC9-3637-E1165381DF1C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy_Robot\Robot_Walking\RF Robot_Step4		94404
	73368536	RF Robot_Step3	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\52\{528604AD-9930-9D76-B74C-F264AEF23AB2}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy_Robot\Robot_Walking\RF Robot_Step3		94404
	109080345	PH Player_Damage3	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\FD\{FD426AE3-3636-54C8-3CF9-5D4B80F430FD}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Character\Player_Hurt\PH Player_Damage3		256404
	121078866	RS Robot_Shooting5	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\89\{89F8FC1B-33DB-1674-6D37-734594EDF2F3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy_Robot\Robot_Shooting\RS Robot_Shooting5		260032
	158670929	FP Shoes_Metal3	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\6B\{6BDA3354-04A9-195E-04C0-9F6A70140B53}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Character\Player_Footsteps\FP Shoes_Metal3		103908
	196140962	FP Shoes_Metal4	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\30\{3056FB9F-0DA7-AF6F-7C8F-85C0CA484E62}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Character\Player_Footsteps\FP Shoes_Metal4		103908
	204720252	FP Shoes_Stop1	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\89\{89636503-9461-024F-119C-A8123CECB50A}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Character\Player_Stop\FP Shoes_Stop1		103908
	235724138	RT Robot_Turn1	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\E4\{E45F0A57-D345-AAFF-28F4-5A6D4D8F8C56}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy_Robot\Robot_Turning\RT Robot_Turn1		193536
	264422464	Player_Scanning	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\ED\{EDF04819-5025-8D14-7213-EE23DA8509CC}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Character\Player_Scanning		619104
	297088785	FP Shoes_Metal6	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\67\{679581CB-FC85-37CF-D51D-58B30B59F450}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Character\Player_Footsteps\FP Shoes_Metal6		103908
	327235841	FP Shoes_Metal2	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\7E\{7EEAB366-C37A-CEC8-2E1B-3E473EA6260F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Character\Player_Footsteps\FP Shoes_Metal2		103908
	334376594	FP Shoes_Metal9	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\56\{567831FD-B171-608A-25F4-F72954473447}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Character\Player_Footsteps\FP Shoes_Metal9		103908
	355841286	RF Robot_Step5	Z:\Volumes\Extreme SSD\Unity Projects\BGJ-2025\BGJ Game_WwiseProject\.cache\39\{393DE16B-F1D7-E8A4-A3BC-717CF97EDC1D}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy_Robot\Robot_Walking\RF Robot_Step5		94404
